model,context_length,method,batch_size,warmup_steps,timed_steps,mean_seconds,sd_seconds,times_seconds
medium,256,f,4,5,10,0.026219,0.005911,0.043040 0.024418 0.024191 0.024404 0.024381 0.024204 0.024393 0.024386 0.024405 0.024367
medium,256,fb,4,5,10,0.074631,0.004986,0.088822 0.073071 0.073062 0.073059 0.073058 0.073016 0.073044 0.073046 0.073040 0.073087
medium,256,fbo,4,5,10,0.089754,0.000676,0.091650 0.089412 0.089702 0.089435 0.089628 0.089654 0.089346 0.089648 0.089552 0.089514
medium,1024,f,4,5,10,0.112269,0.026751,0.188402 0.103829 0.103799 0.103801 0.103804 0.103829 0.103763 0.103785 0.103836 0.103840
medium,1024,fb,4,5,10,0.310250,0.023302,0.376569 0.302930 0.302885 0.302851 0.302889 0.302900 0.302855 0.302881 0.302876 0.302861
medium,1024,fbo,4,5,10,0.319297,0.000722,0.321309 0.319085 0.319120 0.318702 0.319097 0.319264 0.319081 0.319071 0.319040 0.319197
medium,2048,f,4,5,10,0.274024,0.066016,0.461905 0.253544 0.253529 0.253246 0.252520 0.253571 0.253437 0.252799 0.252631 0.253053
medium,2048,fb,4,5,10,0.771551,0.061143,0.945565 0.751965 0.752335 0.752274 0.751988 0.752241 0.752108 0.752557 0.752026 0.752449
medium,2048,fbo,4,5,10,0.768399,0.000651,0.770025 0.768345 0.768247 0.768681 0.768474 0.768070 0.767774 0.767967 0.768585 0.767818
