model,fwd_v_mean,fwd_v_sd,bwd_v_mean,bwd_v_sd,opt_v_mean,opt_v_sd,fwd_c_mean,fwd_c_sd,bwd_c_mean,bwd_c_sd,opt_c_mean,opt_c_sd
small,0.018572077696444467,0.00022056719074661684,0.028851931303506717,0.000980921987008178,0.0025893424986861645,0.0012403710435644204,0.009175352702732198,0.003982126946513275,0.016124982800101863,0.00590652781588139,0.0014056753978366032,0.002243530604146681
medium,0.03706111050269101,0.0005136983975089759,0.05609704679518472,0.0007498827447541376,0.008445504299015739,0.0016547761665464537,0.024885844002710655,0.015513111106084707,0.03914057940128259,0.001692086368540878,0.006572472892003134,0.0004155302657815391
large,0.06590977640880738,0.006878350537355601,0.11274120349553414,0.0010165400752855762,0.015685977891553193,0.001658906805816016,0.0642983306053793,0.029411450367579577,0.09522978989698458,0.006475355726801976,0.014370037292246706,0.002798174074945869
xl,0.16516112499812152,0.02938071882830903,0.3000009600014891,0.003333270251012627,0.04776462069421541,0.0170260766912324,0.1753114405029919,0.0910544009689678,0.2764942560897907,0.015272854807783714,0.03266126791131683,0.06591537496141527
7B,0.28437152529659215,0.05118260824765472,0.5201402704056818,0.004303822723476777,0.09084333990176674,0.037274430987762175,0.3073586221958976,0.16033510702654938,0.4874780068988912,0.03486548997714987,0.0656120534054935,0.11529487893823558
